communities,year,total_number_of_companies,total_capital_subscribed,total_capital_paid_up,house_price_index_hpi,consumer_price_index_cpi,cost_per_mortgage,total_births,total_marriages,total_functions,occupied_population,total_gdp,total_population
melilla,2018,132.0,2313.0,2313.0,119.512,96.482,145.0,1340.0,320.0,516.0,27700.0,1577826,86384.0
melilla,2017,123.0,1795.0,1795.0,110.874,95.561,133.0,1342.0,365.0,494.0,25400.0,1519867,86120.0
murcia,2020,2263.0,144704.0,144704.0,114.378,97.095,91.0,13706.0,2689.0,12392.0,604800.0,29939714,1511251.0
murcia,2019,2421.0,103522.0,103342.0,110.973,97.345,97.0,14264.0,5155.0,11568.0,602900.0,32287218,1493898.0
murcia,2017,2641.0,119999.0,119774.0,102.612,95.612,88.0,15088.0,5215.0,11522.0,570800.0,30538493,1470273.0
murcia,2016,2776.0,183137.0,183137.0,101.397,94.159,95.0,15528.0,5177.0,10867.0,542010.0,29369879,1464847.0
murcia,2018,2603.0,99688.0,99598.0,106.14,96.951,90.0,14675.0,5224.0,11327.0,573300.0,31094338,1478509.0
navarra,2020,633.0,42077.0,42077.0,113.491,96.73,154.0,5036.0,1309.0,6662.0,284300.0,19265047,661197.0
navarra,2019,785.0,85288.0,85288.0,111.614,97.297,146.0,5371.0,2165.0,5568.0,283700.0,20901372,654214.0
navarra,2018,834.0,226711.0,226336.0,107.557,96.168,134.0,5398.0,2100.0,5819.0,276100.0,20064721,647554.0
navarra,2017,838.0,60704.0,60654.0,103.935,94.554,136.0,5746.0,2330.0,5844.0,276010.0,19528873,643234.0
navarra,2016,831.0,23901.0,23901.0,101.676,93.087,142.0,5894.0,2423.0,5727.0,262800.0,18747249,640647.0
pais_vasco,2020,2604.0,102883.0,101570.0,121.362,97.002,164.0,14743.0,3865.0,24252.0,930010.0,66558211,2220504.0
pais_vasco,2019,3091.0,223352.0,221252.0,118.688,97.136,166.0,15449.0,7057.0,21566.0,935900.0,74050747,2207776.0
pais_vasco,2018,3075.0,257129.0,253214.0,113.748,96.215,167.0,16100.0,7328.0,21763.0,913300.0,71924979,2199088.0
pais_vasco,2016,3008.0,208154.0,208154.0,102.574,92.858,156.0,18247.0,7549.0,21224.0,896800.0,67126912,2189534.0
pais_vasco,2017,2961.0,248471.0,230140.0,107.89,94.7,159.0,17077.0,7615.0,21634.0,894400.0,69657915,2194158.0
valencia,2018,11144.0,803695.0,801925.0,109.676,96.687,105.0,38018.0,18082.0,45330.0,1997700.0,111741700,4963703.0
valencia,2020,9507.0,439213.0,438010.0,116.814,96.809,101.0,35761.0,10671.0,48549.0,2074300.0,104724101,5057353.0
valencia,2017,10845.0,752579.0,752294.0,105.385,95.041,101.0,40318.0,18621.0,44804.0,1944600.0,107785815,4941509.0
valencia,2016,11148.0,753292.0,752362.0,102.612,93.263,95.0,41997.0,18929.0,42697.0,1892800.0,103228580,4959968.0
valencia,2019,10975.0,1120314.0,1120134.0,114.306,97.2,107.0,37324.0,17579.0,44016.0,2053400.0,115407021,5003769.0
